SYMBOL	len
LGALS1	7166
PIK3IP1	16588
SRRD	13781
PATZ1	10799
ANKRD54	19179
SNU13	13615
MICALL1	39525
CENPM	14115
KDELR3	18351
DMC1	56935
HSCB	18471
CBY1	20212
TOMM22	6464
RSPH14	88275
XBP1	11742
RTCB	30365
JOSD1	20824
GTPBP1	30643
PPP6R2	75319
DNAL4	21335
C22orf31	8859
MIOX	6789
LMF2	10433
CBX6	13687
RHBDD3	13809
APOBEC3D	15150
RASL10A	8464
HMGXB4	41314
BIK	21962
HMOX1	16111
NIPSNAP1	32005
MCM5	28291
ARSA	11098
RASD2	16168
TTLL12	26212
CBX7	27608
ACR	10135
CABP7	14830
RPL3	12441
SYNGR1	29084
TAB1	35102
PNPLA5	18035
PNPLA3	26777
MYH9	112387
TXN2	20294
FOXRED2	24480
EIF3D	24011
ADSL	23086
PVALB	24495
UPK3A	13925
FAM118A	35973
ST13	37804
IL2RB	29773
RBX1	24931
L3MBTL2	28959
CHADL	17118
PHF5A	14675
ACO2	62857
PMM1	18640
CERK	59542
BRD1	57221
ZBED4	39236
HDAC10	11782
RIPK3	9666
PAPOLA	67734
HSP90AA1	12002
NID2	69950
MARK3	120966
SNAPC1	37008
SUPT16H	38243
ABHD4	14582
FKBP3	25419
CTSG	8432
GZMH	8905
GZMB	8936
PRMT5	14561
COCH	18586
AP4S1	23194
POLE2	50359
SOS2	120148
CDKL1	71177
PYGL	44966
ENSG00000256075	4161
GNPNAT1	22114
CNIH1	23513
CGRRF1	32386
ATP6V1D	27632
CCDC198	30257
PLEK2	30881
PIGH	16650
PSMA3	30161
GSTZ1	13561
TMED8	47765
SAMD15	17784
AHSA1	14379
SPTLC2	116340
RIN3	178213
ALKBH1	41319
CHGA	15135
DHRS7	31436
SIX4	20512
CEP128	117222
SLC10A1	27525
EIF5	13788
SLC8A3	41651
ZFYVE21	20938
BDKRB1	11553
VRK1	87227
APEX1	5541
PABPN1	7706
EFS	14466
CINP	20308
SRP54	49575
PCK2	12814
NFKBIA	8936
EMC9	8326
PSME2	8945
BRMS1L	48625
PNN	10966
RABGGTA	11759
CYP24A1	26240
PTPRA	168587
NSFL1C	30383
ZFP64	46201
SIRPG	33190
PYGB	52927
PROCR	8290
MYBL2	52368
R3HDML	17195
PABPC1L	32256
SALL4	25890
CSTF1	16717
TPD52L2	29251
CTSZ	17769
TUBB1	10225
SLCO4A1	32790
TCFL5	22325
BIRC7	7590
UBOX5	57992
EEF1A2	16769
PTK6	14645
SRMS	14960
ADISSP	19920
TRIB3	19799
CSNK2A1	76992
MACROD2	2060828
SLC52A3	21635
RSPO4	49559
PROKR2	22853
FERMT1	53885
PDYN	20999
TM9SF4	60522
TLDC2	21097
SNTA1	41506
PXMP4	18521
CHMP4B	46018
LBP	33531
SLC32A1	7886
CST4	9098
WFDC2	12992
AHCY	28787
SPINT3	8861
PIGU	122250
ACOT8	21371
APMAP	35526
TXNL1	47083
MYL12A	11435
RNF125	57394
NOX1	36073
TAF9	10477
IDH3G	14307
SLC25A43	58142
H2BW1	8261
MXRA5	43787
VSIG1	37119
PSMD10	13035
STS	138354
PGRMC1	11181
RHOXF1	12562
NXT2	11903
GUCY2F	114880
ATP1B4	24148
TLR8	19549
WDR13	10701
PAGE4	7961
GLRA2	205276
STAG2	143979
F9	35720
ABCD1	22899
BCORL1	78053
KCND1	16164
SLC25A14	36309
FMR1	42161
PQBP1	8204
PCSK1N	10214
RAB40AL	4028
GPR50	7881
RP2	48315
USP11	18461
HTATSF1	17754
TIMP1	7353
PIN4	19661
ITIH6	55037
MAGED2	10356
GLA	15822
ATP12A	34372
NDFIP2	77922
MLNR	5039
ACP5	10147
ARHGEF7	155017
SGCG	147183
DHRS12	41862
OLFM4	26244
ACSM2A	38207
NTHL1	13751
ZNF263	10969
MMP2	30493
ZNF205	10931
ORC6	11735
PHAF1	41603
CORO1A	8474
MT4	6884
LYRM1	27251
NUTF2	28634
CBLN1	9621
ARL2BP	11376
PLLP	34275
CCL22	10406
DHODH	21915
CCL17	14296
ACD	8998
POLR2C	12330
PARD6A	4815
MMP15	24147
USB1	23211
CCDC113	36900
PRSS54	20750
NME3	6923
PSMD7	12474
SETD6	11325
SLC38A7	25361
HAS3	15462
SMPD3	95881
SLC7A6	40293
PLA2G15	18685
FA2H	67551
CMC2	46137
PDIA2	7051
ARHGDIG	5419
MPG	10585
HSDL1	28736
WFDC1	37966
USP10	82922
TSC2	44506
ZNF500	24623
NME4	6555
DECR2	13597
ANTKMT	4431
STUB1	5391
RHBDL1	5193
MEFV	20306
CRYM	50241
CAPN15	29924
AQP8	14985
USP31	93746
HMOX2	36967
TOX3	116426
MAZ	7635
CDIPT	10569
BCKDK	7405
KAT8	16695
TMC5	45663
SLC6A2	52938
KNOP1	21990
MGA	112535
AQP9	50530
CSK	24117
MTFMT	33827
RASL12	20354
CTSH	29688
CEMIP	175433
EHD4	82324
TGM5	40038
GABPB1	83590
SCG3	42523
DNAJC17	48012
RHOV	7720
VPS18	12525
OIP5	29018
BLOC1S6	25329
EXTL3	57098
FDFT1	39557
AGO2	121177
PAG1	149958
TG	270941
BRF2	12293
ZFAND1	25663
RP1	17738
RIPK2	36248
CPQ	501259
DECR1	55156
SFRP1	53211
PLAT	38547
DKK4	8866
GDAP1	19473
PHF20L1	73565
EIF3E	53201
EMC2	48572
CCN4	39927
STMN2	58041
TRPS1	261853
CHRAC1	8832
NCALD	110127
GML	15050
UBR5	164653
PYCR3	11401
MTMR9	46330
DCTN6	30270
GSR	55480
TNFRSF10A	40350
PPP2CB	32902
NEFM	8332
KCTD9	36286
HOMER3	15546
CNOT3	20919
EXOSC5	16685
PNPLA6	30760
PLAUR	27667
PAF1	11177
STXBP2	13763
CYP4F3	24928
ZNF432	23160
ZNF180	31794
ZNF780B	28326
MAN2B1	25918
TULP2	23477
DHDH	14270
ECH1	22072
HNRNPL	19316
SARS2	21197
KCNA7	11002
SNRNP70	26112
RELB	39728
CLASRP	34911
LIN7B	7090
PPP1R37	57106
FCGRT	16767
CKM	22162
PEX11G	17860
SLC17A7	17826
RNASEH2A	10056
SF3A2	14831
AMH	5750
DKKL1	14239
TRMT1	17450
RETN	4406
RSPH6A	25295
TBC1D17	14048
YJU2B	18394
TLE5	15897
SGTA	34258
ENSG00000290933	13941
SNAPC2	5912
FIZ1	13841
C19orf44	27958
CYP4F2	25751
EPHX3	11229
ZNF419	11348
SLC1A6	28439
POP4	13943
LGALS13	7950
FBL	17621
CLC	12474
EBI3	11005
TBCB	13473
FSD1	22238
POLR2I	6866
APLP1	14218
CACTIN	21855
CCDC9	18428
TGFB1	29299
DMAC2	14294
CEACAM4	13759
PLIN3	35026
CD79A	7093
LIM2	13746
RPS19	14159
NKG7	6734
ICAM5	9826
CEACAM5	24807
CRX	24387
SULT2A1	21548
CDC37	18109
RABAC1	8338
CNFN	8978
ZNRF4	4439
HAS1	16556
RAB3D	23289
DBP	13049
EPOR	12807
RASIP1	25725
FGF21	5246
WDR83OS	7028
CACNG7	32649
GCDH	11839
DNASE2	11940
LENG1	10260
RPL18A	6409
SLC5A5	26229
KCNN1	51787
ARRDC2	8932
PIK3R2	20369
RAB3A	12958
PSENEN	4385
COMP	14232
UPK1A	14964
TMEM147	4900
GAPDHS	14863
HAMP	5615
USF2	13859
KXD1	14508
FKBP8	17462
ERF	13259
GSK3A	18112
ZNF574	15933
SIPA1L3	304161
CADM4	23182
PON1	32556
CYP3A43	40885
ABCF2-H2BK1	25029
HGF	76737
TSPAN11-AS1	14672
LAMB1	85062
UBE2D4	32700
WNT16	15104
CPA2	25935
CPA4	34019
GTPBP10	47737
TFPI2	11057
BET1	16810
NAMPT	42385
POLR1F	19276
PON2	35866
ITGB8	87854
HBP1	36519
SP4	89739
CBLL1	18887
PALS2	123741
OGDH	105439
NPVF	9616
H2AZ2	26986
CAV2	11803
HOXA2	8029
LFNG	11655
HOXA5	8329
HOXA6	8078
TSPAN12	76524
EVX1	6725
CHN2	322553
ABHD11	8408
FKBP14	21815
STX1A	26159
NOD1	59957
CCL24	8681
BUD31	13647
CYP3A5	37502
SNX8	68371
WASL	72760
HYAL4	35312
SPAM1	15339
AIMP2	17562
TFR2	26832
MOSPD3	6224
PCOLCE	8812
RBM28	51923
IRS3P	4005
SERPINE1	15143
MOGAT3	11729
C1GALT1	13092
PLOD3	17297
RPA3	87789
FIS1	11309
GLCCI1	123284
MYL10	21666
NRF1	147259
CEP41	52945
ZNF862	32104
MEST	17380
RARRES2	9000
YAE1	9477
GIMAP2	10935
PSMA2	21013
MRPL32	8481
COA1	95966
AEBP1	13215
POLD2	13197
MYL7	8168
BCL7B	27034
YKT6	16316
CLIP2	119528
PTGS1	25098
ZNF510	29234
ZNF688	7688
CHMP5	20021
FKTN	85988
SEC61B	11333
C5	103640
AKNA	46499
TNFSF8	35146
AK1	11243
RLN1	10646
PLGRKT	85654
TBC1D13	26075
ELAVL2	137076
EDF1	9889
SETX	99330
VIM	11315
BLNK	88098
CYP26A1	6992
ATE1	193307
CDH23	422027
CCSER2	192854
ACTA2	23399
PITRM1	40754
STN1	46315
DNAJC12	47219
PPIF	10865
TBC1D12	136791
MPO	16780
ST6GALNAC2	26183
DHX33	33765
UTP18	40387
SLC25A39	10945
P2RX5	28628
EPX	15448
CRYBA1	10635
NUFIP2	44009
GIT1	21873
RPL19	7449
RUNDC3A	12274
CSF3	5369
SUPT4H1	12723
WNT3	61886
SHPK	33710
TAX1BP3	11383
P2RX1	25573
KRT37	9738
GOSR2	21023
PNPO	9705
TVP23C	66980
RPS6KB1	60453
CBX1	37119
PIGL	112201
GALK1	19342
HOXB6	14935
PFN1	8578
SLC25A11	8616
RASD1	7658
NUP88	40770
C1QBP	12078
CPD	94062
GOSR1	53230
CCDC47	34042
MED31	13994
DRG2	23021
AKAP10	79226
ALDH3A1	16009
SMARCD2	15562
SYNGR2	7139
DDX5	13735
ASIC2	285908
CCL2	4918
CCL1	8605
CCL13	5130
PEX12	9476
KRT32	13573
KAT2A	13956
NAGLU	11208
HSD17B1	5279
ABI3	15518
COL1A1	23230
MRPL27	11017
LRRC59	21985
HDAC5	52592
PPY	7372
DUSP3	18552
CACNG1	15243
HLF	63227
EFNB3	9170
RANGRF	4417
RCVRN	14651
MYH1	31935
VTN	8723
TNFAIP1	14248
TMEM97	12485
FOXN1	17955
ALDOC	9475
CD38	77904
IBSP	15881
LAP3	33772
CXCL6	5082
JADE1	68524
RUFY3	74546
AFM	25256
AFP	22496
PHOX2B	10343
GNRHR	22970
CWH43	78804
SULT1E1	24633
SMR3A	9398
LAMTOR3	18869
PF4V1	4187
NFKB1	118943
KLHL2	118586
IL2	10955
WFS1	36415
GAR1	11975
FRG1	25320
CLNK	204073
FAM149A	30826
SPA17	26614
CD82	57695
LDHA	16632
SPI1	29178
PLEKHB1	18270
CRYAB	9081
CTSC	49844
ZPR1	19924
CRTAM	37143
JHY	84103
HSPA8	9535
DTX4	39456
UNC93B1	18697
PUS3	15421
ST3GAL4	61944
SF1	19841
CCND1	16318
CCDC86	11968
PRPF19	21738
TMEM109	12285
ANAPC15	8808
PANX1	56127
APOA5	8212
APOC3	6165
IL10RA	18089
GALNT18	356828
BIRC2	34456
PDHX	82510
SLC15A3	20792
SCGB2A2	6002
DGAT2	35756
C11orf58	22693
RPS13	8977
YBX3	29934
DDX11	33931
SART3	44155
ZNF268	26549
RPLP0	10204
PXN	61024
SLC25A3	15681
POLR3B	155450
PPFIBP1	174358
CD69	14115
PRDM4	33966
CLEC2B	22685
SELPLG	14949
ASIC1	29063
DAO	23951
KCTD10	34345
MLEC	17710
MVK	27331
CSRNP2	28091
IL23A	4526
SYT10	71281
CYP27B1	10444
MYF6	4840
MYF5	5759
GLI1	15483
PPM1H	296856
LTA4H	40534
ELK3	78449
ITFG2	15408
PRR4	9326
PARP11	70238
ARPC3	21214
GPN3	21471
FGF6	17373
MYL2	15434
RAD51AP1	24157
AKAP3	39233
DUSP16	92186
CREBL2	36232
CDKN1B	8001
GPRC5D	17295
SCNN1A	34416
LTBR	10404
OGFOD2	7798
OAS3	37777
ART4	23657
MGP	9659
ARHGDIB	25270
GTF2H3	30000
RERGL	15024
ENDOU	21533
VDR	42187
FZD10	6276
IL26	30161
IFNG	10672
NUP107	61831
CNOT2	114560
TIMELESS	37984
KRR1	26446
MRPL51	7076
GAPDH	6854
ACRBP	15057
COPS7A	10736
GNB3	9468
CDCA3	8136
CHPT1	34434
USP5	17482
TPI1	6829
ENO2	12117
C12orf57	4980
APOBEC1	22208
NANOG	12744
GOLT1B	19619
PRKAB1	16486
CMAS	22450
HCFC2	44993
CLEC4A	17990
AICDA	16389
RAB35	27354
COX6A1	5617
RFX4	81107
SRSF9	13776
FGFR1OP2	31178
KLRB1	19065
IYD	38736
LINC03033	91156
FYN	103549
RSPH4A	19506
TMEM14C	11057
SMIM8	22729
ADTRP	70125
ASF1A	18019
HINT3	26474
NCOA7	141062
ULBP1	12772
SLC44A4	21505
FBXO5	18206
OPRM1	57025
FANCE	17764
TULP1	20722
MAPK14	86428
MAPK14	86428
STK38	59287
HLA-DOA	11109
MCM3	26567
SAYSD1	16823
KIF6	100859
CAP2	167185
GPR63	49052
FBXL4	79981
GPLD1	69446
ACOT13	40969
RPS12	5995
B3GAT2	106081
GMNN	14162
SNX3	55518
LINC01702	13009
ZBTB24	26325
FIG4	137130
ADGRG6	147412
UNC93A	27699
C6orf118	35641
MDFI	18776
TFEB	56782
BYSL	14547
TBP	21491
GUCA1B	17372
PRPH2	31699
MRPL2	10862
PTK7	88401
DNPH1	9552
EXOC2	213685
TMEM30A	37568
VEGFA	15943
H3P16	6110
TTK	41380
CCN6	18605
LAMA4	152336
ENPP5	16256
LY86	69262
PRSS16	11919
MEP1A	49389
MTREX	120590
ISL1	14282
SLC6A7	24001
HARS2	10850
NUDT12	19634
TENT4A	46612
GHR	301439
DAP	87704
BRD8	27448
HBEGF	19460
LOX	20764
GZMK	13314
CDH9	163689
SPARC	31519
HAND1	8955
PCDHB3	6354
PCDHB5	6409
PCDHB6	6230
PCDHB7	6739
PCDHB15	6970
GRM6	22496
THG1L	13029
IL12B	21407
BTNL8	54829
TTC1	59404
C1QTNF3	29460
IRX4	11212
LNPEP	104433
AGXT2	55547
PRLR	46581
IL4	11689
IL5	7777
ST8SIA4	102049
PCDH12	20321
NUP155	88669
NR3C1	128227
C5orf15	18815
TRIM23	40343
TRAPPC13	44029
RARS1	35830
CDX1	20780
BNIP1	22898
SLC7A14	132227
SEMA3G	17768
ZMYND10	10320
LTF	34960
MLH1	60328
EHHADH	69125
CRBN	35380
HRG	15220
BCL6	19871
FAM162A	28741
RBP2	29332
PFKFB4	44819
HES1	5584
ECT2	73792
GNAT1	9086
TUSC2	9014
NPRL2	9145
CYB561D2	6224
CEP15	17624
GNB4	61082
MORC1	165586
UMPS	21821
ABTB1	10974
KLHL18	66872
HEMK1	29644
RRP9	14175
AADAC	17372
EIF1B	5717
ZBTB47	16883
TNNC1	8641
NKTR	51049
SPCS1	5338
NEK4	68196
LDAF1	24942
WDFY1	75687
EIF2AK2	63470
CPS1	125508
DAZAP1	31098
DDX1	42233
HEATR5B	109177
MDH1	21234
MAPRE3	59582
TMSB10	4015
MSH2	83067
NCK2	152360
TFPI	95905
NDUFS1	50327
SLC11A1	17621
APOB	48344
RTKN	20448
INO80B	5857
TTL	62583
FAHD2A	16908
SF3B6	14440
CENPA	11521
SLC30A3	15063
MPV17	18772
NRBP1	17469
SNX17	9919
REEP6	9746
APC2	26095
RPS15	5136
GCA	19784
WBP1	5443
TTC31	14478
NDUFS7	14677
PCGF1	8352
TLX2	5698
DOK1	5831
ACADL	43224
EVA1A	83104
LANCL1	48290
REG1A	5921
FANCL	87778
IGFBP2	34016
IGFBP5	29144
KCNJ13	16463
CCT4P2	5106
GGCX	22473
NEU2	5385
MOB4	41128
HSPE1	6070
WNT6	17428
IL1RL1	43474
IL18R1	45980
SLC9A2	94802
AZU1	7181
PPP1R7	36185
PASK	49073
PROC	13815
ID2	8608
ODC1	14059
PLEKHB2	47908
GREB1	89433
GORASP2	40877
CEBPZ	35684
PRKD3	80031
RMDN2	119674
DLX2	9162
SLC1A4	37466
ORC2	60383
COX7A2L	17579
PPP3R1	79375
PLEK	35171
PRTN3	10176
KISS1R	6672
GRIN3B	12313
VAX2	35870
ATP6V1B1	32531
MSH6	26808
PLEKHA3	39006
SPR	7750
FAM76A	37553
ENO1	23386
MMP23A	4840
CDC7	27913
SARS1	27264
CLCA1	34891
BCL9	87715
TPSG1	9317
ANGPTL1	27242
TCEANC2	55474
TMEM59	32223
RPL22	20275
OPRD1	62097
WDR77	15066
RNF19B	34060
DLGAP3	45647
C1orf21	244990
MAD2L2	22870
MFN2	36064
MIIP	15547
SLC35D1	60498
PRAMEF10	11074
PRAMEF4	12689
PRDM2	123224
RGS2	6236
DENND1B	228637
WARS2	115137
OSCP1	38245
NT5C1A	26578
AKR7A2	13879
RAB29	11712
CD160	14044
P3H1	26337
EBNA1BP2	13806
ATP6V0B	6341
SLC19A2	27735
SELL	26653
FMO6P	26184
VAMP4	47605
GRHL3	34448
SYF2	15926
DHDDS	41985
PPP1R8	23714
SLC5A9	28957
CTSD	16872
COLEC11	52409
STAG1	421842
A4GNT	14377
MMP8	18858
APOA1	7571
SLC8A2	49576
NR5A2	150989
TNNT2	19945
CAMSAP2	123922
FCGR2B	17875
FCRLA	10123
EEF1B2	6343
ATIC	40705
TNP1	6306
FASTKD2	30152
TTR	9944
B4GALT6	65608
DOP1A	103805
FILIP1	191410
SPACA1	21997
SGIP1	213991
TBPL1	40208
ZC2HC1B	76869
FBXO30	26993
ADAT2	33563
TNFAIP3	18868
SGK1	11310
TCF21	9218
PMFBP1	58758
MED28	22464
RNF103	26167
MYL12B	19328
GHRH	16433
RPN2	65289
SOGA1	91791
PKD2	73142
ABCG2	74070
SPP1	10759
STBD1	7397
ADH6	20515
CCNI	34534
RARRES1	41265
LDAH	144770
FGF23	17185
OTUD4P1	6066
ELL2	82453
GLRX	14577
NDUFB3	16749
ZFAND5	18867
GDA	105872
ECRG4	15467
YWHAQ	52730
ITGB1BP1	23522
CPSF3	52447
DDX55	21844
CCDC92	42905
FKBP15	65971
HDHD3	8456
VPS4B	38986
SERPINB10	31153
GSC	7590
ADCK1	137905
PGF	19419
IFI27L2	7523
NEK9	53395
ACYP1	16481
IFT43	100964
NPC2	19049
IRF2BPL	9865
ACOT2	9442
FLVCR2	72547
TGFB3	29598
ZC2HC1C	11846
SLIRP	12519
PAPOLG	48818
TP53I3	13101
RHOQ	45198
TMEM214	11729
ATAD2B	184159
FAM98A	21339
YIPF4	41690
AFTPH	71700
LGALSL	10219
CRIPT	15961
ADGRB3	160099
MFSD13A	18650
SLF2	55171
LIPF	17372
PPP1R3C	10329
MXI1	63513
PRLHR	11351
HOXB8	8646
HOXB5	8222
HOXB7	9485
HOXB1	8185
DUSP1	8799
PANK3	36573
MSX2	9314
INSL4	6885
IFNA7	6436
LRP11	51302
CCDC170	130176
ARAP3	34528
PCDHB8	5749
PCDHB10	6294
PCDHB14	7416
PCDHB12	6852
SLC25A2	7114
PRRX1	78290
TNN	83242
TTLL2	20602
MSANTD2	39875
PDZD11	9032
NUDCD1	98868
CCDC77	43998
CCDC169	72739
CCDC169	76329
UFM1	16768
ELF1	93092
ALG5	55302
FAM53C	14463
MYOT	22991
EGR1	6824
PFN2	11691
SERP1	10198
MTERF2	15569
NFYB	26824
WASHC3	54851
FZD3	83046
SLC39A14	69842
DUSP4	23320
DUSP4	17966
SORBS3	26861
CHRNA2	22948
PPP3CC	103047
TARDBP	15838
PRAMEF2	7823
RDH10	33679
LUC7L3	36106
DLX4	8769
COIL	28551
TBX2	12623
SLC35B1	12721
